,Atölye-İşlik,BTSınıfı,Bahçe,Bağlantı,BilimselEtkinlikler,DersBaşlamaveBitiş,Derslik,FenLabaratuarı,FenLaboratuarı,HazırlıkSınıfı,IsınmaŞekli,Kantin,KonferansSalonu,KontenjanBilgileri,Kütüphane,LojmanBilgisi,LojmanSayısı,Misafirhane,MüzikSınıfı,OkulunYGS/LYSBaşarıDurumu,PansiyonBilgisi,ProjeÇalışmaları,RehberÖğretmen,ResimSınıfı,Revir,ServisBilgisi,SporSalonu,SportifEtkinlikler,Taban-TavanPuanBilgileri,YABANCIDIL,Yemekhane,YurtdışıProjeFaaliyetleri,adres,isim,semt,Öğrenci,ÖğretimŞekli,Öğretmen,İlveİlçeMerkezineUzaklık,url
,0,0,1,ADSL(8Mbit),,08:50-14:15,33,,0,0,Doğalgaz-Kalorifer,1,1,,0,,0,0,0,,YOK,,3,0,0,SERVİSMEVCUTTUR,0,,,İNGİLİZCE,0,,,-60. yıl sarıgazi i̇lkokulu,SANCAKTEPE,1151,NormalEğitim,50,OkulumuzSancaktepeilçemerkezindebulunmaktadır.,http://60yilsarigaziilkokulu.meb.k12.tr/meb_iys_dosyalar/34/40/738524/okulumuz_hakkinda.html
,0,1,1,,,,30,1,,0,,1,1,,1,,,0,0,,,,1,0,0,,0,,,,0,,,-700. yıl ortaokulu,PENDİK,657,Normal,43,,http://700yilortaokulu.meb.k12.tr/meb_iys_dosyalar/34/16/739982/okulumuz_hakkinda.html
,0,0,1,ADSL(16Mbitveüzeri),,08:50-14:10,40,,0,0,DoğalgazKalorifer,1,1,,1,,0,0,0,,,,1,0,0,,0,,,,0,,,-toki̇ osmangazi i̇lkokulu,BAŞAKŞEHİR,1166,Normal-TamGün,51,Okulumuzİlçemerkezine10kmuzaklıktadır.,http://746618.meb.k12.tr/meb_iys_dosyalar/34/36/746618/okulumuz_hakkinda.html
,7,1,0,,,,26,1,,0,,0,1,,1,,,0,,,,,,,0,,1,,,,1,,Sarıgazi Mah. Namık Kemal Cad. No.61 İETT Garajı Karşısı 34785 Sancaktepe İSTANBUL,-75. yıl devlet malzeme ofisi mesleki ve teknik anadolu lisesi,ÜMRANİYE,876,Normal-Gündüz-Karma,57,,http://75dmoeml.meb.k12.tr/meb_iys_dosyalar/34/21/967507/okulumuz_hakkinda.html
,0,0,1,,,,27,0,,0,,1,1,,0,,,0,0,,,,1,0,0,,0,,,,0,,Yeşilpınar Mah. Gökhan Sok.   No11 Eyüp / İstanbul,-75 yıl yeşilpınar i̇lkokulu,EYÜP,1041,NormalEğitim,36,,http://75yesilpinar.meb.k12.tr/meb_iys_dosyalar/34/09/742327/okulumuz_hakkinda.html
,0,1,0,ADSL(8Mbit),,09:00Giriş,16,,1,0,Kalorifer,0,1,,1,1+1Okuliçinde,1,0,,,,,,,0,,0,,,,0,,,-75. yıl cumhuriyet i̇lkokulu,SİLİVRİ,338,Tamgün,18,4km,http://75yilcumhuriyetilkokulu.meb.k12.tr/meb_iys_dosyalar/34/18/731306/okulumuz_hakkinda.html
,1,1,0,,,,17,1,,0,,0,1,,1,,,0,,,,,,,0,,1,,,,0,,,-75. yıl cumhuriyet ortaokulu,SİLİVRİ,339,TAMGÜN,21,,http://75yilcumhuriyetortaokul.meb.k12.tr/meb_iys_dosyalar/34/18/746414/okulumuz_hakkinda.html
,0,0,0,,,,35,0,,0,,0,1,,0,,,0,,,,,,,0,,0,,,,0,,Yenişehir Mah. Millet Cad. No 6 Pendik / İSTANBUL,-75.yıl mesut yılmaz i̇lkokulu,PENDİK,1211,TamGün,44,,http://75yilmyi.meb.k12.tr/meb_iys_dosyalar/34/16/729194/okulumuz_hakkinda.html
,5,0,0,,,,15,0,,0,,0,0,,0,,,0,1,,,,1,1,0,,0,,,,1,,MADENLER MAH. SARIGAZİ YOLU CAD. NO 33/1 ÜMRANİYE/İSTANBUL,-togem-der özel eği̇ti̇m mesleki̇ eği̇ti̇m merkezi̇ (okulu),ÜMRANİYE,90,TAMGÜN,19,,http://760262.meb.k12.tr/meb_iys_dosyalar/34/21/760262/okulumuz_hakkinda.html
,0,0,0,,,,24,0,,0,,0,1,,1,,,0,,,,,,,0,,0,,,,0,,Büyükçavuşlu Mah. Büyükçavuşlu Cad. NO225 Silivri/İSTANBUL,-büyük çavuşlu ortaokulu,SİLİVRİ,200,Normal,12,,http://BCAVUSLUORTAOKUL.meb.k12.tr/meb_iys_dosyalar/34/18/738937/okulumuz_hakkinda.html
